Data run ended at:  Friday, April 09, 2021	1:50:33 AM
Total number of sweeps:  14912522	live time (sec):  298250.440000	real time (sec):  345601.047000


time (sec)	counts
6.460000E-3	1.489600E+5
6.480000E-3	1.492190E+5
6.500000E-3	1.489840E+5
6.520000E-3	1.489610E+5
6.540000E-3	1.491080E+5
6.560000E-3	1.490440E+5
6.580000E-3	1.491510E+5
6.600000E-3	1.487880E+5
6.620000E-3	1.489850E+5
6.640000E-3	1.488930E+5
6.660000E-3	1.493930E+5
6.680000E-3	1.487740E+5
6.700000E-3	1.489290E+5
6.720000E-3	1.488860E+5
6.740000E-3	1.493260E+5
6.760000E-3	1.495270E+5
6.780000E-3	1.494290E+5
6.800000E-3	1.491990E+5
6.820000E-3	1.491460E+5
6.840000E-3	1.489180E+5
6.860000E-3	1.499510E+5
6.880000E-3	1.490980E+5
6.900000E-3	1.493640E+5
6.920000E-3	1.499530E+5
6.940000E-3	1.490330E+5
6.960000E-3	1.481290E+5
6.980000E-3	1.493280E+5
7.000000E-3	1.494890E+5
7.020000E-3	1.490600E+5
7.040000E-3	1.487640E+5
7.060000E-3	1.493000E+5
7.080000E-3	1.492980E+5
7.100000E-3	1.487330E+5
7.120000E-3	1.491000E+5
7.140000E-3	1.498300E+5
7.160000E-3	1.498790E+5
7.180000E-3	1.498140E+5
7.200000E-3	1.488340E+5
7.220000E-3	1.493960E+5
7.240000E-3	1.493920E+5
7.260000E-3	1.496740E+5
7.280000E-3	1.487910E+5
7.300000E-3	1.490740E+5
7.320000E-3	1.493560E+5
7.340000E-3	1.492270E+5
7.360000E-3	1.491050E+5
7.380000E-3	1.493250E+5
7.400000E-3	1.493570E+5
7.420000E-3	1.495790E+5
7.440000E-3	1.494760E+5
7.460000E-3	1.490310E+5
7.480000E-3	1.494850E+5
7.500000E-3	1.484500E+5
7.520000E-3	1.496920E+5
7.540000E-3	1.492860E+5
7.560000E-3	1.495480E+5
7.580000E-3	1.489630E+5
7.600000E-3	1.488690E+5
7.620000E-3	1.497250E+5
7.640000E-3	1.495610E+5
7.660000E-3	1.499180E+5
7.680000E-3	1.497140E+5
7.700000E-3	1.492670E+5
7.720000E-3	1.494630E+5
7.740000E-3	1.489300E+5
7.760000E-3	1.499070E+5
7.780000E-3	1.489490E+5
7.800000E-3	1.499770E+5
7.820000E-3	1.493950E+5
7.840000E-3	1.493820E+5
7.860000E-3	1.494330E+5
7.880000E-3	1.495420E+5
7.900000E-3	1.498890E+5
7.920000E-3	1.493300E+5
7.940000E-3	1.491960E+5
7.960000E-3	1.494520E+5
7.980000E-3	1.489120E+5
8.000000E-3	1.485890E+5
8.020000E-3	1.488830E+5
8.040000E-3	1.487220E+5
8.060000E-3	1.491770E+5
8.080000E-3	1.504380E+5
8.100000E-3	1.487020E+5
8.120000E-3	1.490060E+5
8.140000E-3	1.492380E+5
8.160000E-3	1.490720E+5
8.180000E-3	1.489920E+5
8.200000E-3	1.490160E+5
8.220000E-3	1.487220E+5
8.240000E-3	1.494080E+5
8.260000E-3	1.485880E+5
8.280000E-3	1.497580E+5
8.300000E-3	1.496980E+5
8.320000E-3	1.492610E+5
8.340000E-3	1.497690E+5
8.360000E-3	1.489830E+5
8.380000E-3	1.498630E+5
8.400000E-3	1.496220E+5
8.420000E-3	1.492150E+5
8.440000E-3	1.495310E+5
8.460000E-3	1.494650E+5
8.480000E-3	1.495250E+5
8.500000E-3	1.492140E+5
8.520000E-3	1.490890E+5
8.540000E-3	1.495360E+5
8.560000E-3	1.498940E+5
8.580000E-3	1.489460E+5
8.600000E-3	1.494540E+5
8.620000E-3	1.494520E+5
8.640000E-3	1.493800E+5
8.660000E-3	1.494050E+5
8.680000E-3	1.496180E+5
8.700000E-3	1.497330E+5
8.720000E-3	1.493110E+5
8.740000E-3	1.495650E+5
8.760000E-3	1.503930E+5
8.780000E-3	1.491340E+5
8.800000E-3	1.493420E+5
8.820000E-3	1.496830E+5
8.840000E-3	1.496510E+5
8.860000E-3	1.494460E+5
8.880000E-3	1.491640E+5
8.900000E-3	1.502920E+5
8.920000E-3	1.493710E+5
8.940000E-3	1.492390E+5
8.960000E-3	1.494130E+5
8.980000E-3	1.486400E+5
9.000000E-3	1.492170E+5
9.020000E-3	1.494050E+5
9.040000E-3	1.496140E+5
9.060000E-3	1.492160E+5
9.080000E-3	1.495690E+5
9.100000E-3	1.492940E+5
9.120000E-3	1.494870E+5
9.140000E-3	1.492810E+5
9.160000E-3	1.481140E+5
9.180000E-3	1.489730E+5
9.200000E-3	1.496640E+5
9.220000E-3	1.492240E+5
9.240000E-3	1.490510E+5
9.260000E-3	1.493860E+5
9.280000E-3	1.489400E+5
9.300000E-3	1.495660E+5
9.320000E-3	1.492600E+5
9.340000E-3	1.496550E+5
9.360000E-3	1.490260E+5
9.380000E-3	1.495210E+5
9.400000E-3	1.492980E+5
9.420000E-3	1.489250E+5
9.440000E-3	1.491420E+5
9.460000E-3	1.493910E+5
9.480000E-3	1.489630E+5
9.500000E-3	1.497810E+5
9.520000E-3	1.494390E+5
9.540000E-3	1.484210E+5
9.560000E-3	1.494030E+5
9.580000E-3	1.499060E+5
9.600000E-3	1.487220E+5
9.620000E-3	1.494920E+5
9.640000E-3	1.495080E+5
9.660000E-3	1.495030E+5
9.680000E-3	1.486680E+5
9.700000E-3	1.495660E+5
9.720000E-3	1.494410E+5
9.740000E-3	1.501830E+5
9.760000E-3	1.490310E+5
9.780000E-3	1.494460E+5
