Data run ended at:  Friday, April 09, 2021	10:26:03 PM
Total number of sweeps:  1735	live time (sec):  20.820000	real time (sec):  40.076000


time (sec)	counts
5.320000E-3	2.700000E+1
5.340000E-3	2.600000E+1
5.360000E-3	2.300000E+1
5.380000E-3	2.300000E+1
5.400000E-3	2.300000E+1
5.420000E-3	2.800000E+1
5.440000E-3	2.300000E+1
5.460000E-3	2.800000E+1
5.480000E-3	2.200000E+1
5.500000E-3	2.200000E+1
5.520000E-3	1.900000E+1
5.540000E-3	1.900000E+1
5.560000E-3	2.100000E+1
5.580000E-3	2.100000E+1
5.600000E-3	2.600000E+1
5.620000E-3	2.800000E+1
5.640000E-3	2.600000E+1
5.660000E-3	3.600000E+1
5.680000E-3	3.100000E+1
5.700000E-3	2.700000E+1
5.720000E-3	2.000000E+1
5.740000E-3	2.300000E+1
5.760000E-3	1.900000E+1
5.780000E-3	1.800000E+1
5.800000E-3	3.300000E+1
5.820000E-3	1.800000E+1
5.840000E-3	2.700000E+1
5.860000E-3	2.300000E+1
5.880000E-3	2.100000E+1
5.900000E-3	2.600000E+1
5.920000E-3	1.700000E+1
5.940000E-3	2.400000E+1
5.960000E-3	3.600000E+1
5.980000E-3	2.700000E+1
6.000000E-3	1.900000E+1
6.020000E-3	2.200000E+1
6.040000E-3	1.700000E+1
6.060000E-3	2.300000E+1
6.080000E-3	3.000000E+1
6.100000E-3	1.800000E+1
6.120000E-3	2.700000E+1
6.140000E-3	2.200000E+1
6.160000E-3	2.300000E+1
6.180000E-3	2.000000E+1
6.200000E-3	2.000000E+1
6.220000E-3	2.800000E+1
6.240000E-3	2.600000E+1
6.260000E-3	2.700000E+1
6.280000E-3	2.200000E+1
6.300000E-3	3.200000E+1
6.320000E-3	3.300000E+1
6.340000E-3	2.500000E+1
6.360000E-3	3.000000E+1
6.380000E-3	3.000000E+1
6.400000E-3	2.600000E+1
6.420000E-3	3.100000E+1
6.440000E-3	1.600000E+1
6.460000E-3	3.200000E+1
6.480000E-3	2.700000E+1
6.500000E-3	2.700000E+1
6.520000E-3	2.100000E+1
6.540000E-3	2.000000E+1
6.560000E-3	2.100000E+1
6.580000E-3	2.100000E+1
6.600000E-3	1.700000E+1
6.620000E-3	2.600000E+1
6.640000E-3	2.900000E+1
6.660000E-3	3.100000E+1
6.680000E-3	2.800000E+1
6.700000E-3	2.700000E+1
6.720000E-3	3.200000E+1
6.740000E-3	2.500000E+1
6.760000E-3	2.800000E+1
6.780000E-3	2.500000E+1
6.800000E-3	2.500000E+1
6.820000E-3	3.400000E+1
6.840000E-3	3.300000E+1
6.860000E-3	2.800000E+1
6.880000E-3	2.400000E+1
6.900000E-3	3.000000E+1
6.920000E-3	2.900000E+1
6.940000E-3	2.500000E+1
6.960000E-3	3.600000E+1
6.980000E-3	2.400000E+1
7.000000E-3	2.200000E+1
7.020000E-3	3.600000E+1
7.040000E-3	1.600000E+1
7.060000E-3	3.300000E+1
7.080000E-3	2.000000E+1
7.100000E-3	2.500000E+1
7.120000E-3	2.000000E+1
7.140000E-3	1.800000E+1
7.160000E-3	3.000000E+1
7.180000E-3	2.600000E+1
7.200000E-3	2.100000E+1
7.220000E-3	2.500000E+1
7.240000E-3	2.100000E+1
7.260000E-3	2.400000E+1
7.280000E-3	2.300000E+1
7.300000E-3	3.000000E+1
7.320000E-3	3.900000E+1
7.340000E-3	2.300000E+1
7.360000E-3	2.300000E+1
7.380000E-3	2.700000E+1
7.400000E-3	2.300000E+1
7.420000E-3	2.600000E+1
7.440000E-3	2.500000E+1
7.460000E-3	2.800000E+1
7.480000E-3	2.600000E+1
7.500000E-3	2.600000E+1
7.520000E-3	3.100000E+1
7.540000E-3	2.300000E+1
7.560000E-3	3.200000E+1
7.580000E-3	2.300000E+1
7.600000E-3	2.400000E+1
7.620000E-3	3.000000E+1
7.640000E-3	2.300000E+1
7.660000E-3	2.000000E+1
7.680000E-3	2.600000E+1
7.700000E-3	2.200000E+1
7.720000E-3	3.200000E+1
7.740000E-3	2.400000E+1
7.760000E-3	2.600000E+1
7.780000E-3	2.300000E+1
7.800000E-3	3.500000E+1
7.820000E-3	2.700000E+1
7.840000E-3	2.700000E+1
7.860000E-3	2.400000E+1
7.880000E-3	3.800000E+1
7.900000E-3	2.300000E+1
7.920000E-3	3.100000E+1
7.940000E-3	1.900000E+1
7.960000E-3	3.900000E+1
7.980000E-3	3.100000E+1
8.000000E-3	2.200000E+1
8.020000E-3	1.800000E+1
8.040000E-3	2.700000E+1
8.060000E-3	3.100000E+1
8.080000E-3	2.300000E+1
8.100000E-3	2.900000E+1
8.120000E-3	2.600000E+1
8.140000E-3	1.600000E+1
8.160000E-3	1.800000E+1
8.180000E-3	3.300000E+1
8.200000E-3	2.200000E+1
8.220000E-3	2.400000E+1
8.240000E-3	1.700000E+1
8.260000E-3	2.400000E+1
8.280000E-3	1.900000E+1
8.300000E-3	2.200000E+1
8.320000E-3	2.600000E+1
