Data run ended at:  Thursday, April 15, 2021	1:35:47 AM
Total number of sweeps:  11209717	live time (sec):  224194.340000	real time (sec):  259208.184000


time (sec)	counts
6.180000E-3	8.377300E+4
6.200000E-3	8.323500E+4
6.220000E-3	8.330100E+4
6.240000E-3	8.390700E+4
6.260000E-3	8.330700E+4
6.280000E-3	8.327700E+4
6.300000E-3	8.366800E+4
6.320000E-3	8.377000E+4
6.340000E-3	8.360400E+4
6.360000E-3	8.335900E+4
6.380000E-3	8.353800E+4
6.400000E-3	8.371200E+4
6.420000E-3	8.377900E+4
6.440000E-3	8.299500E+4
6.460000E-3	8.359600E+4
6.480000E-3	8.321500E+4
6.500000E-3	8.348800E+4
6.520000E-3	8.314500E+4
6.540000E-3	8.371200E+4
6.560000E-3	8.361000E+4
6.580000E-3	8.336300E+4
6.600000E-3	8.350000E+4
6.620000E-3	8.407400E+4
6.640000E-3	8.329600E+4
6.660000E-3	8.321300E+4
6.680000E-3	8.341500E+4
6.700000E-3	8.367600E+4
6.720000E-3	8.291400E+4
6.740000E-3	8.340300E+4
6.760000E-3	8.363000E+4
6.780000E-3	8.389700E+4
6.800000E-3	8.319400E+4
6.820000E-3	8.341600E+4
6.840000E-3	8.338700E+4
6.860000E-3	8.375700E+4
6.880000E-3	8.351800E+4
6.900000E-3	8.385500E+4
6.920000E-3	8.349900E+4
6.940000E-3	8.367200E+4
6.960000E-3	8.362200E+4
6.980000E-3	8.389500E+4
7.000000E-3	8.373000E+4
7.020000E-3	8.359200E+4
7.040000E-3	8.334500E+4
7.060000E-3	8.349700E+4
7.080000E-3	8.351300E+4
7.100000E-3	8.346600E+4
7.120000E-3	8.402000E+4
7.140000E-3	8.364400E+4
7.160000E-3	8.364200E+4
7.180000E-3	8.330600E+4
7.200000E-3	8.387900E+4
7.220000E-3	8.376200E+4
7.240000E-3	8.374700E+4
7.260000E-3	8.369700E+4
7.280000E-3	8.420700E+4
7.300000E-3	8.354500E+4
7.320000E-3	8.397700E+4
7.340000E-3	8.380800E+4
7.360000E-3	8.356700E+4
7.380000E-3	8.350700E+4
7.400000E-3	8.323400E+4
7.420000E-3	8.374700E+4
7.440000E-3	8.395200E+4
7.460000E-3	8.437200E+4
7.480000E-3	8.362300E+4
7.500000E-3	8.317200E+4
7.520000E-3	8.323200E+4
