Data run ended at:  Saturday, April 03, 2021	6:03:08 PM
Total number of sweeps:  2519203	live time (sec):  50384.060000	real time (sec):  58415.165000


time (sec)	counts
5.540000E-3	6.537800E+4
5.560000E-3	6.523500E+4
5.580000E-3	6.540200E+4
5.600000E-3	6.480300E+4
5.620000E-3	6.472500E+4
5.640000E-3	6.511600E+4
5.660000E-3	6.502000E+4
5.680000E-3	6.519100E+4
5.700000E-3	6.506400E+4
5.720000E-3	6.510600E+4
5.740000E-3	6.541100E+4
5.760000E-3	6.518300E+4
5.780000E-3	6.483800E+4
5.800000E-3	6.478500E+4
5.820000E-3	6.512200E+4
5.840000E-3	6.498100E+4
5.860000E-3	6.500900E+4
5.880000E-3	6.456600E+4
5.900000E-3	6.522500E+4
5.920000E-3	6.529600E+4
5.940000E-3	6.469800E+4
5.960000E-3	6.494600E+4
5.980000E-3	6.536700E+4
6.000000E-3	6.527700E+4
6.020000E-3	6.480100E+4
6.040000E-3	6.525300E+4
6.060000E-3	6.492900E+4
6.080000E-3	6.505200E+4
6.100000E-3	6.486700E+4
6.120000E-3	6.483100E+4
6.140000E-3	6.525200E+4
6.160000E-3	6.501100E+4
6.180000E-3	6.456800E+4
6.200000E-3	6.525400E+4
6.220000E-3	6.492300E+4
6.240000E-3	6.483300E+4
6.260000E-3	6.511300E+4
6.280000E-3	6.497500E+4
6.300000E-3	6.513600E+4
6.320000E-3	6.521800E+4
6.340000E-3	6.528600E+4
6.360000E-3	6.547900E+4
6.380000E-3	6.481500E+4
6.400000E-3	6.476400E+4
6.420000E-3	6.462400E+4
6.440000E-3	6.538200E+4
6.460000E-3	6.519000E+4
6.480000E-3	6.522900E+4
6.500000E-3	6.492600E+4
6.520000E-3	6.523200E+4
6.540000E-3	6.545700E+4
6.560000E-3	6.523700E+4
6.580000E-3	6.498100E+4
6.600000E-3	6.469200E+4
6.620000E-3	6.466300E+4
6.640000E-3	6.490400E+4
6.660000E-3	6.506400E+4
6.680000E-3	6.470700E+4
6.700000E-3	6.540300E+4
6.720000E-3	6.523700E+4
6.740000E-3	6.496700E+4
6.760000E-3	6.493300E+4
6.780000E-3	6.467000E+4
6.800000E-3	6.462200E+4
6.820000E-3	6.488000E+4
6.840000E-3	6.472000E+4
6.860000E-3	6.509300E+4
6.880000E-3	6.501000E+4
6.900000E-3	6.454300E+4
6.920000E-3	6.471500E+4
6.940000E-3	6.427700E+4
6.960000E-3	6.383400E+4
6.980000E-3	6.440400E+4
7.000000E-3	6.434000E+4
7.020000E-3	6.398500E+4
7.040000E-3	6.430600E+4
7.060000E-3	6.439600E+4
7.080000E-3	6.388700E+4
7.100000E-3	6.420400E+4
7.120000E-3	6.365100E+4
7.140000E-3	6.409700E+4
7.160000E-3	6.379000E+4
7.180000E-3	6.369400E+4
7.200000E-3	6.334600E+4
7.220000E-3	6.401200E+4
